,album,artists,duration_ms,id,name,popularity,artist_id,genres,danceability,energy,speechiness,acousticness,instrumentalness,valence,tempo
0,"{'album_type': 'album', 'name': 'My Beautiful Dark Twisted Fantasy', 'release_date': '2010-11-22', 'total_tracks': 13, 'uri': 'spotify:album:20r762YmB5HeofjMCiPMLv'}",Kanye West,292093,2gZUPNdnz5Y45eiGxpHGSc,POWER,81,5K4W6rqBFWDnAN6FQUkS6x,"['chicago rap', 'hip hop', 'rap']",0.542,0.914,0.113,0.0161,0.0,0.576,153.993
1,"{'album_type': 'single', 'name': 'Bleu Chanel (Na-No Remix)', 'release_date': '2019-04-19', 'total_tracks': 1, 'uri': 'spotify:album:07D8zsqF4hTT2PnQQEaTTM'}",ARIA,163355,0J0busYTWpcKAcryFukUuk,Bleu Chanel (Na-No Remix),0,5pRlKxATEYXaSwYkFbkmMm,['g-house'],0.803,0.613,0.191,0.0491,0.0,0.164,122.024
2,"{'album_type': 'single', 'name': 'Take It', 'release_date': '2018-07-27', 'total_tracks': 1, 'uri': 'spotify:album:0RnDSHfOBbc3T4UCoy2s1Q'}",Dom Dolla,234440,3ebXuBiCPdiJeaHRiY0djO,Take It,56,205i7E8fNVfojowcQSfK9m,"['australian house', 'deep groove house', 'house']",0.851,0.742,0.0377,0.0259,0.256,0.236,123.033
3,"{'album_type': 'single', 'name': 'Pump It Up', 'release_date': '2019-09-13', 'total_tracks': 2, 'uri': 'spotify:album:3D8C4a5lYbpEu5bPQmOpJj'}",Endor,150635,0GiwV6v3AgJfdu59tj719Y,Pump It Up,74,6F3vLfyutkUhpM50G84eMt,"['deep groove house', 'scottish rock']",0.899,0.894,0.222,0.203,9.95e-05,0.654,129.047
4,"{'album_type': 'single', 'name': 'Who U Gonna Call', 'release_date': '2019-02-28', 'total_tracks': 1, 'uri': 'spotify:album:1uSAxnObxc3APGRgDyiceI'}",Bart B More,169999,5XoS31kWrMPUWvEePJmkbe,Who U Gonna Call,16,1eOOXqRHILTxqrEUAYyQU0,"['dutch edm', 'fidget house']",0.839,0.83,0.166,0.0144,0.826,0.274,126.411
5,"{'album_type': 'album', 'name': 'Yeezus', 'release_date': '2013-01-01', 'total_tracks': 10, 'uri': 'spotify:album:0XTAmejG8F97wF5MWoVbaY'}",Kanye West,231506,0hhNR8YFUEYNhWNuSoMErM,I Am A God,0,5K4W6rqBFWDnAN6FQUkS6x,"['chicago rap', 'hip hop', 'rap']",0.47,0.541,0.0763,0.0329,0.000723,0.296,112.077
6,"{'album_type': 'single', 'name': 'Liondub Street Series, Vol. 11: Black Widow', 'release_date': '2015-04-06', 'total_tracks': 5, 'uri': 'spotify:album:0oypb5nZLbPouUzLqYJ8OO'}",Macky Gee,268628,7GTrIRmjum3UMSPtZL21LB,Black Widow,56,5EDztvTkyoKtK0ZdEdhOFx,"['bass house', 'tekk']",0.907,0.961,0.05,0.0519,0.291,0.969,87.516
7,"{'album_type': 'single', 'name': 'DatDatDat', 'release_date': '2019-04-12', 'total_tracks': 1, 'uri': 'spotify:album:1ZSGPXoqQonfIn9FWWdhq9'}",BROHUG,157440,07AIGejOb0kM3S7mMHi7pm,DatDatDat,21,3IHsD0sttucHrX8b32Vcab,"['bass house', 'electro house']",0.729,0.915,0.0376,0.000189,0.51,0.484,124.996
8,"{'album_type': 'single', 'name': 'Freaks (Radio Edit)', 'release_date': '2014-01-01', 'total_tracks': 1, 'uri': 'spotify:album:3UHUPmhyPrnRx6clKjaZNs'}",Timmy Trumpet,168750,2VJ8G0LeX2hu7RWc4suNhe,Freaks - Radio Edit,1,0CbeG1224FS58EUx4tPevZ,"['australian dance', 'big room', 'melbourne bounce', 'melbourne bounce international']",0.886,0.967,0.142,0.0157,0.389,0.745,128.1
9,"{'album_type': 'album', 'name': 'Moments', 'release_date': '2018-07-20', 'total_tracks': 21, 'uri': 'spotify:album:7kwkli7T5ZWQP4yq7b8Igy'}",Macky Gee,227657,55pO2fWy1Ztt6hnGsyMkOG,Moments,0,5EDztvTkyoKtK0ZdEdhOFx,"['bass house', 'tekk']",0.579,0.947,0.0434,0.224,0.147,0.546,174.966
